사이트,상품이름,가격,상품URL,이미지URL,평판점수,평판숫자,종류
Coupang,"냥셰프 성묘용 그레인프리 치킨앤피쉬 고양이 건식사료, 닭, 2kg",19800,https://www.coupang.com/vp/products/4805351101?itemId=6174497338&vendorItemId=73470511178&sourceType=srp_product_ads&clickEventId=233d25f4-6ddc-4e59-bb9f-afa3af86a48f&korePlacement=15&koreSubPlacement=1&clickEventId=233d25f4-6ddc-4e59-bb9f-afa3af86a48f&korePlacement=15&koreSubPlacement=1,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/gtypurpg/02200abeb1b74efe9e4013ba9187ff63.jpg,4.5,-212,Cat
Coupang,"탐사 전연령용 고양이 사료, 20kg",28740,https://www.coupang.com/vp/products/1173188814?itemId=2151439093&vendorItemId=70149742855&pickType=COU_PICK,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/501342547010073-eef2075d-3eb3-4ad5-ac56-5991d34f0a0f.jpg,4.5,-8488,Cat
Coupang,"프로베스트 캣 블루 사료, 1개, 7.5kg",18500,https://www.coupang.com/vp/products/4982653?itemId=538595813&vendorItemId=3018214510,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/83740278028936-ffd04047-b347-4d35-8ea8-6c00e511f7e4.jpg,4.5,-24762,Cat
Coupang,"ANF 식스 프리 인도어 어덜트 고양이 사료, 6kg, 1개",40900,https://www.coupang.com/vp/products/3238709?itemId=396406&vendorItemId=77724241481,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d680/5d19c7cb6af401c2ab747c33c70322449ee45e692c3ecd77938cc487e416.jpg,5,-6031,Cat
Coupang,"로얄캐닌 어덜트 휘트 고양이 사료, 10kg, 1개",98000,https://www.coupang.com/vp/products/95416?itemId=186766&vendorItemId=70043834667&sourceType=srp_product_ads&clickEventId=aa9f1874-629d-42ce-a008-94006608ea0b&korePlacement=15&koreSubPlacement=5&clickEventId=aa9f1874-629d-42ce-a008-94006608ea0b&korePlacement=15&koreSubPlacement=5,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/96a7/c26b54e0d3097fcfecec9a769d6025c2e2e197a4852b24d745deec9a3a0a.jpg,4.5,-540,Cat
Coupang,"프렌드포캣 전연령용 고양이 사료, 곡물, 10kg",18910,https://www.coupang.com/vp/products/1955204006?itemId=3322379245&vendorItemId=71309243287&sourceType=srp_product_ads&clickEventId=27523870-2489-4b51-9c7b-c61b3760a312&korePlacement=15&koreSubPlacement=6&clickEventId=27523870-2489-4b51-9c7b-c61b3760a312&korePlacement=15&koreSubPlacement=6,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/516163680303645-918ce03b-c05d-47c0-beeb-7d2ecd6d4c8d.png,4.5,-348,Cat
Coupang,"캐츠랑 NEW 전연령 올라이프 고양이 건식사료, 닭 + 참치, 20kg",39900,https://www.coupang.com/vp/products/1798177756?itemId=3059055225&vendorItemId=70734097647,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/533801507741482-7acf3c03-ed41-4bed-a9f3-c48d9a165e70.jpg,4.5,-20214,Cat
Coupang,"로얄캐닌 인도어 4kg 고양이사료 애묘사료, 1개",54800,https://www.coupang.com/vp/products/167301095?itemId=479015661&vendorItemId=76703659814,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6c43/521a34a4eebb9ecfc26292d62fbafcae15737505c363ee769ea0cec07a6f.jpg,5,-2235,Cat
Coupang,"캣츠러브 전연령 오리 닭고기 고양이 건식사료, 5kg",11900,https://www.coupang.com/vp/products/6074201879?itemId=11227953226&vendorItemId=70895617449&sourceType=srp_product_ads&clickEventId=1d346fce-5c48-4b0a-b24c-19491c19a7ed&korePlacement=15&koreSubPlacement=9&clickEventId=1d346fce-5c48-4b0a-b24c-19491c19a7ed&korePlacement=15&koreSubPlacement=9,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,-441,Cat
Coupang,"하림펫푸드 전연령 밥이보약 고양이사료, 걱정없는 헤어볼, 3.4kg",27770,https://www.coupang.com/vp/products/1349593999?itemId=2377637378&vendorItemId=70373191035,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,-2508,Cat
