사이트,상품이름,가격,상품URL,이미지URL,평판점수,평판숫자,종류
Coupang,"(덴탈껌증정) 청담닥터스랩 가수분해 관절 피부 소화 눈물 구강 알러지 아토피 예방 기능성 수의사가만든 강아지 사료 5종 2kg, 2.스킨&코트 사료 2kg (덴탈껌 증정)",28000,https://www.coupang.com/vp/products/6027716013?itemId=10980669428&vendorItemId=78260374414,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(1),Dog
Coupang,"(로얄캐닌) 대형견사료 독 맥시 어덜트 4KG, 1",36500,https://www.coupang.com/vp/products/163687440?itemId=469646774&vendorItemId=74407526087,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(2),Dog
Coupang,"1+1행사 청담닥터스랩 가수분해 관절 피부 소화 눈물 구강 알러지 아토피 예방 기능성 수의사가만든 강아지 사료 5종 2kg, 1.조인트&웨이트 2kg, 5.멀티&덴탈 2kg",28000,https://www.coupang.com/vp/products/5901270785?itemId=10405701508&vendorItemId=77687692445&sourceType=srp_product_ads&clickEventId=94de0460-62f6-4b34-8659-c04e7b107ee8&korePlacement=15&koreSubPlacement=1&clickEventId=94de0460-62f6-4b34-8659-c04e7b107ee8&korePlacement=15&koreSubPlacement=1,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b3f3/028863d0a076afa8db17f95a407dd56541d0fc6b6983fac3af5d982b50e0.jpg,4.5,(7),Dog
Coupang,"25 pcs 고무 따기 손가락 블랙 2.0cm 직경 슬롯 제모 기계 닭 오리 새 가금류 창고 스틱, 검은 색, M",46100,https://www.coupang.com/vp/products/6072684817?itemId=11218757123&vendorItemId=78496238141,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"AMEIFU 애완 동물 고양이 그릇 더블 스탠드가있는 고양이 사료 그릇 애완 동물 용품 용 자궁 경부 척추 개 물 그릇, 블루 더블 그릇",37700,https://www.coupang.com/vp/products/6072862944?itemId=11219736652&vendorItemId=78497204840,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"ANF 6FREE PLUS 소고기연어 5.6kg 강아지사료, 1개",38550,https://www.coupang.com/vp/products/104774078?itemId=317643397&vendorItemId=77725306938,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/45bc/8fb74123b56f027538b4f8be789bd5fbc5ae8573a52dcbff8a806aa71d78.jpg,4.5,(473),Dog
Coupang,"ANF 6FREE PLUS 양고기쌀 5.6kg 강아지사료, 1개",41200,https://www.coupang.com/vp/products/104429559?itemId=316648635&vendorItemId=76965838226,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9e16/2e3884cedbc639afa0fe41ce91fce3c7b524258919cd795a55909e3b6c26.JPG,5.0,(75),Dog
Coupang,"ANF 6FREE PLUS 연어흰살생선 5.6kg 강아지사료, 1개",39700,https://www.coupang.com/vp/products/104778243?itemId=317652625&vendorItemId=76965805838,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c241/efb50c24d1d87b3679079006ebd183619a0088af38be0b8abd4e3a985108.JPG,5.0,(372),Dog
Coupang,"ANF 6FREE PLUS 오리연어 5.6kg 강아지사료, 1개",38690,https://www.coupang.com/vp/products/104204526?itemId=316185469&vendorItemId=78427724850,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(338),Dog
Coupang,"ANF GOLD 독 6free식스프리 소고기+연어 1.8kg, 2개",44000,https://www.coupang.com/vp/products/5994817879?itemId=10834517961&vendorItemId=78114541962,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ca6a/4924f0c031185a700bf9e8fce95a465e9f551e1d2a55deeaa56fb5a3edbe.jpg,5.0,(1),Dog
Coupang,"ANF GOLD 독 6free식스프리 소고기+연어 1.8kg, 3.6kg, 2개",88000,https://www.coupang.com/vp/products/5994817879?itemId=10834517973&vendorItemId=78114542057,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(1),Dog
Coupang,"ANF GOLD 독 6free식스프리 소고기+연어 1.8kg, 3.6kg, 5개",220000,https://www.coupang.com/vp/products/5994817879?itemId=10834517964&vendorItemId=78114541976,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(1),Dog
Coupang,ANF 강아지사료 ANF 6프리플러스 양고기쌀 강아지1.8kg,16360,https://www.coupang.com/vp/products/291137479?itemId=921042928&vendorItemId=78134748646,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(14),Dog
Coupang,ANF 강아지사료 Made with Organic 연어감자 6kg,92400,https://www.coupang.com/vp/products/2230907246?itemId=3806448050&vendorItemId=72720898224,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/40e3/9eb0491320f244169e17c5eefe411f362244ecfa1287e5e26a807e71084e.jpg,평점 없음,평점 수 없음,Dog
Coupang,ANF 강아지사료 Made with Organic 연어감자 6kg,92400,https://www.coupang.com/vp/products/2230907246?itemId=3806448050&vendorItemId=72720898224,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"ANF 독 그레인프리 슈퍼푸드 3세대 치킨&감자 프리미엄 강아지 애견사료(유통기한 21년 11월), 6.8kg",40000,https://www.coupang.com/vp/products/5019531448?itemId=6728482643&vendorItemId=74021436090,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"ANF 램 홀리스틱 시니어 7.2kg 헬시웨이트 앤 조인트, 1개",44900,https://www.coupang.com/vp/products/187480344?itemId=535831185&vendorItemId=70778721789,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/004a/eafc7d1c0fc92bad67490cf40806190a7a906c56a59da734f1f9d7a02edb.jpg,5.0,(5),Dog
Coupang,"ANF 램 홀리스틱 시니어 7.2kg 헬시웨이트 앤 조인트, 1개",44900,https://www.coupang.com/vp/products/187480344?itemId=535831185&vendorItemId=70778721789,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(5),Dog
Coupang,"ANF 램 홀리스틱 시니어 7.2kg 헬시웨이트 앤 조인트, 1개",44900,https://www.coupang.com/vp/products/187480344?itemId=535831185&vendorItemId=70778721789,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/004a/eafc7d1c0fc92bad67490cf40806190a7a906c56a59da734f1f9d7a02edb.jpg,5.0,(5),Dog
Coupang,"ANF 램 홀리스틱 시니어 7.2kg 헬시웨이트 앤 조인트, 1개",44900,https://www.coupang.com/vp/products/187480344?itemId=535831185&vendorItemId=70778721789,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/004a/eafc7d1c0fc92bad67490cf40806190a7a906c56a59da734f1f9d7a02edb.jpg,5.0,(5),Dog
Coupang,"ANF 램 홀리스틱 올라이프 스테이지 (작은알갱이) 7.2kg 애견사료, 1개",31800,https://www.coupang.com/vp/products/148720038?itemId=430072620&vendorItemId=5305154606,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(107),Dog
Coupang,"ANF 램 홀리스틱 올라이프 스테이지 (중간알갱이) 15kg 애견사료, 1",67060,https://www.coupang.com/vp/products/202291578?itemId=591479814&vendorItemId=73967823532,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(32),Dog
Coupang,"ANF 램 홀리스틱 올라이프 스테이지 (중간알갱이) 15kg 애견사료, 1",67060,https://www.coupang.com/vp/products/202291578?itemId=591479814&vendorItemId=73967823532,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(32),Dog
Coupang,ANF 램홀리스틱 S(작은입자)15kg 강아지사료 애견사료,62900,https://www.coupang.com/vp/products/2238461178?itemId=3823005544&vendorItemId=71807878969,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4484/347e8707c4a3fe91b0fad3757075310fa295aa16271e0099bcf51bd0162f.jpg,5.0,(11),Dog
Coupang,"ANF 램홀리스틱 어덜트 사료 중간입자, 7.2kg, 1개",31720,https://www.coupang.com/vp/products/177533543?itemId=507824325&vendorItemId=73756656652,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(52),Dog
Coupang,"ANF 식스프리 플러스 양고기 앤 쌀 5.6kg 유기농, 1개",41500,https://www.coupang.com/vp/products/322700389?itemId=1033631329&vendorItemId=5484032644,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(7),Dog
Coupang,"ANF 유기농 6Free 양고기 전연령 애견 사료, 양, 2kg, 1개",39000,https://www.coupang.com/vp/products/822882?itemId=3230422&vendorItemId=76504640278,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(11112),Dog
Coupang,"ANF 유기농 6Free 양고기 전연령 애견 사료, 양, 2kg, 1개",39000,https://www.coupang.com/vp/products/822882?itemId=3230422&vendorItemId=76504640278,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(11112),Dog
Coupang,"ANF 유기농 6Free 양고기 전연령 애견 사료, 양, 6kg, 1개",64580,https://www.coupang.com/vp/products/822882?itemId=3229500&vendorItemId=78416650264,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(11112),Dog
Coupang,"ANF 유기농 6Free 양고기 전연령 애견 사료, 양, 6kg, 2개",106000,https://www.coupang.com/vp/products/822882?itemId=33827778&vendorItemId=76854553737,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(11112),Dog
Coupang,"ANF 유기농 6Free 양고기 전연령 애견 사료, 양, 6kg, 2개",106000,https://www.coupang.com/vp/products/822882?itemId=33827778&vendorItemId=76854553737,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(11112),Dog
Coupang,"ANF 유기농 6Free 양고기 전연령 애견 사료, 양, 8kg, 1세트",60260,https://www.coupang.com/vp/products/822882?itemId=94885258&vendorItemId=70801338513,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(11112),Dog
Coupang,"ANF 유기농 6Free 양고기 전연령 애견 사료, 양, 8kg, 1세트",60260,https://www.coupang.com/vp/products/822882?itemId=94885258&vendorItemId=70801338513,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(11112),Dog
